;2022/23;2023/24
KW 27;;3225695333907,499
KW 28;;1324257457716,9111
KW 29;;2262441136171,029
KW 30;;3591890793632,8086
KW 31;;4352692457922,1743
KW 32;;1235955896208,669
KW 33;;2855728006263,2344
KW 34;;2509563263067,2417
KW 35;;1653252048802,8196
KW 36;;6901785835116,142
KW 37;;11782991071651,639
KW 38;;5428811460972,498
KW 39;;1711973128641,0762
KW 40;1283817599999,9998;3969347431936,5522
KW 41;5258018016023,648;2165566156174,3213
KW 42;2645396233706,1377;1153339483398,256
KW 43;6410075334704,797;2116787577843,2937
KW 44;18946915861120,68;2439143206007,238
KW 45;7866365128157,014;2761498834171,182
KW 46;22624844526131,03;4337555256969,6006
KW 47;34376150658081,184;11687401614632,396
KW 48;24711711743968,773;40775215227367,016
KW 49;31036787461332,203;36232244581876,42
KW 50;22438989576634,504;31689273936385,83
KW 51;25786708486359,3;38259184042591,54
KW 52;21389125019744,61;44829094148797,25
KW 1;24973356301623,305;58385670287458,65
KW 2;18009263217499,438;71942246426120,05
KW 3;11045170133375,57;94237400000000
KW 4;17707761373980,016;121254441064369,4
KW 5;10869266782251,69;76397319289723,83
KW 6;4443895696642,092;96079377949444,84
KW 7;8346362308080,399;37374556723341,71
KW 8;5746659309680,421;86786508209135,62
KW 9;3745369859607,61;29335599073167,016
KW 10;0;26997961378348,832
KW 11;0;28130188264981,145
KW 12;0;15573538774213,684
KW 13;0;9426581744061,36
KW 14;0;15462014389882,78
KW 15;0;11036284685516,887
KW 16;3422001015772,205;12551271633957,77
KW 17;0;8103752021999,198
KW 18;0;1622224879652,4968
KW 19;0;348761002202,0088
KW 20;0;2083371784393,3748
KW 21;0;0
KW 22;0;810628540906,8652
KW 23;0;
KW 24;0;
KW 25;3006202589318,5635;
KW 26;1474440845517,0315;810628540906,8652
