Datum;Vollständig geimpft;Unvollständig/nicht geimpft;;;;;;;;;;;;;;
01.07.2021;0,586632838;4,043404887;;;;;;;;;;;;;;
02.07.2021;0,876908372;3,849966794;;;;;;;;;;;;;;
03.07.2021;0,868405456;3,79743814;;;;;;;;;;;;;;
04.07.2021;0,852117192;3,350981838;;;;;;;;;;;;;;
05.07.2021;0,629300658;3,091515736;;;;;;;;;;;;;;
06.07.2021;0,824377955;3,538261581;;;;;;;;;;;;;;
07.07.2021;0,81055012;3,645018899;;;;;;;;;;;;;;
08.07.2021;1,006906709;4,177899893;;;;;;;;;;;;;;
09.07.2021;0,869394246;4,454216225;;;;;;;;;;;;;;
10.07.2021;1,323125858;4,798313014;;;;;;;;;;;;;;
11.07.2021;1,437471618;5,433010975;;;;;;;;;;;;;;
12.07.2021;1,669948758;6,295348273;;;;;;;;;;;;;;
13.07.2021;2,140229067;6,434448358;;;;;;;;;;;;;;
14.07.2021;2,356051456;7,094776073;;;;;;;;;;;;;;
15.07.2021;2,52276022;7,22380376;;;;;;;;;;;;;;
16.07.2021;2,759659421;7,579349097;;;;;;;;;;;;;;
17.07.2021;2,681148116;8,453736174;;;;;;;;;;;;;;
18.07.2021;2,84171296;9,698499811;;;;;;;;;;;;;;
19.07.2021;3,178439386;9,433487623;;;;;;;;;;;;;;
20.07.2021;2,850899726;10,00261359;;;;;;;;;;;;;;
21.07.2021;3,006497572;10,54034068;;;;;;;;;;;;;;
22.07.2021;2,938210606;12,13025568;;;;;;;;;;;;;;
23.07.2021;3,345060607;11,67616328;;;;;;;;;;;;;;
24.07.2021;3,503044145;10,83421785;;;;;;;;;;;;;;
25.07.2021;3,542563318;11,00412655;;;;;;;;;;;;;;
26.07.2021;3,289477481;11,9147952;;;;;;;;;;;;;;
27.07.2021;3,851967177;12,2308764;;;;;;;;;;;;;;
28.07.2021;4,05735384;13,54749209;;;;;;;;;;;;;;
29.07.2021;4,332170298;13,10997815;;;;;;;;;;;;;;
30.07.2021;4,155710487;16,09075184;;;;;;;;;;;;;;
31.07.2021;4,262121616;18,57198021;;;;;;;;;;;;;;
01.08.2021;4,535509925;18,90085943;;;;;;;;;;;;;;
02.08.2021;5,027470324;21,378621;;;;;;;;;;;;;;
03.08.2021;5,123628655;24,2685313;;;;;;;;;;;;;;
04.08.2021;5,046398834;25,95819385;;;;;;;;;;;;;;
05.08.2021;5,428195052;27,49002519;;;;;;;;;;;;;;
06.08.2021;5,925932552;26,61387924;;;;;;;;;;;;;;
07.08.2021;5,635641808;28,35620082;;;;;;;;;;;;;;
08.08.2021;5,561580601;30,07120148;;;;;;;;;;;;;;
09.08.2021;5,876066007;29,42418668;;;;;;;;;;;;;;
10.08.2021;6,029181237;31,27250864;;;;;;;;;;;;;;
11.08.2021;6,731134753;32,58363813;;;;;;;;;;;;;;
12.08.2021;7,37874492;33,64171573;;;;;;;;;;;;;;
13.08.2021;8,141011114;37,07052255;;;;;;;;;;;;;;
14.08.2021;8,624165461;38,91928596;;;;;;;;;;;;;;
15.08.2021;9,426997496;40,71236194;;;;;;;;;;;;;;
16.08.2021;9,403865973;41,72971788;;;;;;;;;;;;;;
17.08.2021;9,930882152;41,83922693;;;;;;;;;;;;;;
18.08.2021;10,40128823;44,5199762;;;;;;;;;;;;;;
19.08.2021;10,4456654;48,55683083;;;;;;;;;;;;;;
20.08.2021;10,65242286;51,34178963;;;;;;;;;;;;;;
21.08.2021;12,05709851;53,86369241;;;;;;;;;;;;;;
22.08.2021;11,76411911;57,30783897;;;;;;;;;;;;;;
23.08.2021;12,3911379;63,67720488;;;;;;;;;;;;;;
24.08.2021;13,01925066;67,85850066;;;;;;;;;;;;;;
25.08.2021;13,70123117;68,93959779;;;;;;;;;;;;;;
26.08.2021;14,49984692;70,03847655;;;;;;;;;;;;;;
27.08.2021;15,24931553;73,26400057;;;;;;;;;;;;;;
28.08.2021;15,18144246;74,89024319;;;;;;;;;;;;;;
29.08.2021;16,61563677;72,7767601;;;;;;;;;;;;;;
30.08.2021;17,82737942;75,70039867;;;;;;;;;;;;;;
31.08.2021;20,75055898;81,41261143;;;;;;;;;;;;;;
01.09.2021;21,58191703;87,34265141;;;;;;;;;;;;;;
02.09.2021;23,91974524;91,31306812;;;;;;;;;;;;;;
03.09.2021;27,76654276;97,84488018;;;;;;;;;;;;;;
04.09.2021;30,31996385;98,04781042;;;;;;;;;;;;;;
05.09.2021;32,65055728;107,1298006;;;;;;;;;;;;;;
06.09.2021;35,51066201;107,9286974;;;;;;;;;;;;;;
07.09.2021;38,03963057;111,6144246;;;;;;;;;;;;;;
08.09.2021;40,83604063;113,1573472;;;;;;;;;;;;;;
09.09.2021;42,74171586;117,5286213;;;;;;;;;;;;;;
10.09.2021;41,98991709;118,0670733;;;;;;;;;;;;;;
11.09.2021;43,25305595;123,1836281;;;;;;;;;;;;;;
12.09.2021;42,26531439;127,5570241;;;;;;;;;;;;;;
13.09.2021;41,97375603;129,7870784;;;;;;;;;;;;;;
14.09.2021;41,35776808;137,0832751;;;;;;;;;;;;;;
15.09.2021;42,71118263;144,8566394;;;;;;;;;;;;;;
16.09.2021;42,10345238;149,7401568;;;;;;;;;;;;;;
17.09.2021;42,25945821;147,6489289;;;;;;;;;;;;;;
18.09.2021;40,60121644;148,80633;;;;;;;;;;;;;;
19.09.2021;41,20935946;140,901338;;;;;;;;;;;;;;
20.09.2021;41,82168696;141,7483739;;;;;;;;;;;;;;
21.09.2021;42,00254134;134,0437411;;;;;;;;;;;;;;
22.09.2021;40,33483204;133,2268162;;;;;;;;;;;;;;
23.09.2021;40,42721619;128,3535694;;;;;;;;;;;;;;
24.09.2021;39,63092969;131,2929332;;;;;;;;;;;;;;
25.09.2021;39,30029605;129,0725664;;;;;;;;;;;;;;
26.09.2021;39,69594282;130,9409284;;;;;;;;;;;;;;
27.09.2021;35,71096517;140,7898359;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
