Kalenderwoche;BA.5*;BQ.1*;BA.2*;BA.2.75*;CH.1.1*;XBB*;XBB.1.5*;XBB.1.9*;andere
46;26,9;0,6;5,4;1,5;2,2;0;0;0;63,4
47;32,4;0,7;5,6;1,5;2,6;0;0;0;57,1
48;37,6;0,7;6,3;2,6;2,3;0;0;0;50,3
49;42,7;0,6;6,2;3,3;2,7;0;0,1;0;44,3
50;46,7;1,1;7,4;3,8;2,1;0;0,4;0;38,5
51;47,7;1,4;10,6;3,1;2,4;0;1,1;0;33,6
52;44,6;1,4;12,4;5,3;2,5;0;1,7;0;32
1;47,1;0,8;13,6;5,6;2,3;0;4;0;26,6
2;45,9;0,9;12,6;10,2;2,3;0;7,3;0,2;20,5
3;43,8;0,7;14,2;10,2;2,4;0;11,7;0,3;16,8
4;38,2;0,3;13,4;11,9;2,4;0;19,1;1,3;13,4
5;30,4;0,1;13,5;11,5;1,8;0;31,8;1;9,8
6;25,6;0;9,7;12,4;2,8;0;37;3,6;8,8
7;21,2;0,3;8,2;13,5;1;0;44,7;4,5;6,7
8;14,2;0,5;6,1;11,7;1,2;0;54,4;5,8;6
9;12,6;1,1;5,3;8,7;1,2;0;61;6,4;3,8
10;8,1;0;4,7;8,1;1,3;0,1;65,4;8,8;3,5
11;5,7;0;3,2;9,6;1;0,1;67,8;9,9;2,8
12;4,4;0,1;2,5;7,4;1,6;0,2;68,6;12,5;2,7
13;3,6;0;2,3;6,3;1,6;0,3;62,7;20,3;2,8
14;2,7;0,1;1,4;4,9;2,8;1,9;56,8;27;2,4
15;1,8;0,1;1,5;4;3,9;2,4;52,3;32,6;1,3
16;1,2;0,2;1,1;5,2;3,2;3,8;51,1;33,4;0,9
17;0,6;0;0,6;2,9;5,4;7,1;54,1;28,7;0,8
18;1;0;0,3;3,7;6;7;48,8;31,1;2
